Date,Open,High,Low,Close,Volume,Adj Close
27/10/2015,126.06,126.06,124.5,124.5,500,124.5
26/10/2015,124.45,124.63,124.45,124.63,100,124.63
23/10/2015,124.9,125.75,122.27,122.55,100,122.55
22/10/2015,120.15,125.44,120.15,125.44,100,125.44
21/10/2015,116.37,120.39,116.37,120.39,0,120.39
20/10/2015,119.65,119.65,116.71,116.71,200,116.71
19/10/2015,121.59,121.59,118.85,118.85,200,118.85
16/10/2015,124.37,124.37,119.25,120.5,200,120.5
15/10/2015,129.83,133,126.85,126.85,100,126.85
14/10/2015,128.75,134.15,128.22,128.22,100,128.22
13/10/2015,133.99,137.1,126.2,129.35,1800,129.35
12/10/2015,127.97,134.7,127.97,133.76,600,133.76
09/10/2015,117.23,125.05,117.23,124.95,100,124.95
08/10/2015,118.77,120,116.55,117.53,200,117.53
07/10/2015,109.13,118.95,109.13,118.91,400,118.91
06/10/2015,103.5,107.56,103.5,107.56,100,107.56
05/10/2015,102.54,103.9,96.3,103.59,300,103.59
02/10/2015,107.9,107.9,107.9,107.9,0,107.9
01/10/2015,107.5,108.02,105.51,105.51,300,105.51
30/09/2015,105.25,106.6,105.25,105.73,200,105.73
29/09/2015,106.86,106.86,103.85,105.45,100,105.45
28/09/2015,116.5,116.5,105.65,106.35,100,106.35
25/09/2015,122.13,122.13,114.22,116.03,200,116.03
24/09/2015,123.86,124.95,118.75,119.47,500,119.47
23/09/2015,112.92,122.55,105.45,122.11,2500,122.11
22/09/2015,135.98,135.98,106.55,114.36,900,114.36
21/09/2015,145.95,145.95,129.55,134.19,800,134.19
18/09/2015,166.59,166.59,166.59,166.59,0,166.59
17/09/2015,168.16,168.16,168.16,168.16,0,168.16
16/09/2015,167.99,167.99,167.99,167.99,0,167.99
15/09/2015,165.73,165.73,165.73,165.73,0,165.73
14/09/2015,166.84,166.84,166.84,166.84,0,166.84
11/09/2015,166.9,166.9,166.9,166.9,0,166.9
10/09/2015,167.52,167.52,167.52,167.52,0,167.52
09/09/2015,168.16,171.3,168.16,170.43,0,170.43
08/09/2015,161.25,165.85,161.25,165.8,100,165.8
07/09/2015,161.91,161.91,161.91,161.91,0,161.91
04/09/2015,162.01,162.01,162.01,162.01,0,162.01
03/09/2015,160.19,161.55,160.19,161.55,0,161.55
02/09/2015,161.32,161.32,161.32,161.32,0,161.32
01/09/2015,164.61,164.61,164.61,164.61,0,164.61
31/08/2015,170.29,170.29,166.9,166.9,0,166.9
28/08/2015,171.25,171.25,169.2,169.2,0,169.2
27/08/2015,170.6,170.6,170.6,170.6,0,170.6
26/08/2015,164.79,164.79,164.79,164.79,0,164.79
25/08/2015,160,167.45,160,167.1,0,167.1
24/08/2015,159.74,159.74,159.74,159.74,0,159.74
21/08/2015,163.72,168.75,163.72,168.75,0,168.75
20/08/2015,169.72,169.72,167.87,167.87,0,167.87
19/08/2015,172.67,172.67,172.67,172.67,0,172.67
18/08/2015,177.94,177.94,177.94,177.94,0,177.94
17/08/2015,181.66,181.66,179.9,179.9,100,179.9
14/08/2015,179.73,179.73,179.7,179.7,0,179.7
13/08/2015,179.61,179.61,179.61,179.61,0,179.61
12/08/2015,184.71,184.71,184.71,184.71,0,184.71
11/08/2015,192.93,192.93,192.93,192.93,0,192.93
10/08/2015,191.89,191.89,191.89,191.89,0,191.89
07/08/2015,189.58,189.58,189.58,189.58,0,189.58
06/08/2015,191.32,191.32,191.32,191.32,0,191.32
05/08/2015,185.74,188.25,185.74,188.25,0,188.25
04/08/2015,184.99,184.99,184.99,184.99,0,184.99
03/08/2015,183.28,186,183.28,186,0,186
31/07/2015,185.21,185.21,185.21,185.21,0,185.21
30/07/2015,185.85,185.85,185.85,185.85,0,185.85
29/07/2015,190.69,191.35,187.15,187.15,100,187.15
28/07/2015,185.76,189.1,185.76,189.1,0,189.1
27/07/2015,189.04,189.04,189.04,189.04,0,189.04
24/07/2015,197.36,197.36,193.35,193.35,100,193.35
23/07/2015,196.78,198.2,196.78,198.2,0,198.2
22/07/2015,197.9,197.9,197.9,197.9,0,197.9
21/07/2015,201.11,201.11,201.11,201.11,0,201.11
20/07/2015,202.41,202.41,202.41,202.41,0,202.41
17/07/2015,202.76,202.76,202.76,202.76,0,202.76
16/07/2015,200.23,204.95,200.23,204.95,0,204.95
15/07/2015,201.01,201.01,201.01,201.01,0,201.01
14/07/2015,205.41,205.41,201.98,202.4,0,202.4
13/07/2015,204.52,204.52,204.52,204.52,0,204.52
10/07/2015,206.44,206.55,206.44,206.55,0,206.55
09/07/2015,197.99,197.99,197.99,197.99,0,197.99
08/07/2015,204.09,204.09,204.09,204.09,0,204.09
07/07/2015,208.18,208.18,203.1,203.77,0,203.77
06/07/2015,206.64,208.04,206.64,208.04,100,208.04
03/07/2015,211.51,211.51,211.51,211.51,0,211.51
02/07/2015,214.58,214.58,214.58,214.58,0,214.58
01/07/2015,209.24,209.24,209.24,209.24,0,209.24
30/06/2015,208.4,208.4,208.4,208.4,0,208.4
29/06/2015,204.32,207.15,204.32,207.15,100,207.15
26/06/2015,214.34,214.34,214.34,214.34,0,214.34
25/06/2015,214.18,214.18,214.18,214.18,0,214.18
24/06/2015,218.34,218.34,218.34,218.34,0,218.34
23/06/2015,216.78,216.78,216.78,216.78,0,216.78
22/06/2015,208.94,208.94,208.94,208.94,0,208.94
19/06/2015,205.5,208.2,205.5,208.2,0,208.2
18/06/2015,205.04,205.04,202.4,202.4,0,202.4
17/06/2015,208.1,208.1,208.1,208.1,0,208.1
16/06/2015,207.59,207.59,207.59,207.59,0,207.59
15/06/2015,210.27,210.27,210.27,210.27,0,210.27
12/06/2015,214.12,214.12,214.12,214.12,0,214.12
11/06/2015,214.46,214.46,214.46,214.46,0,214.46
10/06/2015,207.41,210.65,207.41,210.65,0,210.65
09/06/2015,208.78,208.78,208.78,208.78,0,208.78
08/06/2015,213.02,213.02,213.02,213.02,0,213.02
05/06/2015,213.75,213.75,213.75,213.75,0,213.75
04/06/2015,215.66,215.66,215.66,215.66,0,215.66
03/06/2015,214.78,214.78,214.78,214.78,0,214.78
02/06/2015,219.37,219.37,219.37,219.37,0,219.37
01/06/2015,220.36,220.36,220.36,220.36,0,220.36
29/05/2015,224.16,224.16,224.16,224.16,0,224.16
