Date,Open,High,Low,Close,Volume,Adj Close
19/10/2015,33.259998,33.630001,33.18,33.5,10836800,33.5
16/10/2015,33.639999,33.860001,33.16,33.369999,12209300,33.369999
15/10/2015,32.419998,33.490002,32.400002,33.48,19370900,33.48
14/10/2015,32.279999,32.490002,31.77,32.09,11277400,32.09
13/10/2015,32.560001,32.830002,32.32,32.34,12610500,32.34
12/10/2015,32.709999,33.02,32.549999,32.860001,12565800,32.860001
09/10/2015,32.349998,32.689999,31.99,32.52,11822100,32.52
08/10/2015,31.790001,32.5,31.73,32.369999,14239400,32.369999
07/10/2015,31.309999,31.99,31.209999,31.870001,11991000,31.870001
06/10/2015,30.790001,31.190001,30.66,30.959999,10572800,30.959999
05/10/2015,30.799999,31.200001,30.35,30.85,12655000,30.85
02/10/2015,28.620001,30.709999,28.43,30.709999,29098500,30.709999
01/10/2015,28.950001,29,28.440001,28.91,14459100,28.91
30/09/2015,28.65,29.110001,28.49,28.91,17861800,28.91
29/09/2015,28.58,29.23,27.85,28.26,41761600,28.26
28/09/2015,29.030001,29.219999,27.200001,27.6,49088700,27.6
25/09/2015,29.66,29.709999,28.91,29.129999,11525300,29.129999
24/09/2015,29.469999,29.57,28.85,29.34,18723200,29.34
23/09/2015,30.559999,30.57,29.629999,29.74,12674700,29.74
22/09/2015,30.780001,30.92,30.17,30.4,15257000,30.4
21/09/2015,31.200001,31.74,30.879999,31.17,18413400,31.17
18/09/2015,30.51,30.799999,30.41,30.74,20144700,30.74
17/09/2015,31.309999,31.33,30.809999,30.93,16546900,30.93
16/09/2015,31.139999,31.77,30.99,31.4,22171700,31.4
15/09/2015,29.719999,31.23,29.41,31.040001,25637600,31.040001
14/09/2015,30.68,30.92,30,30.32,21951500,30.32
11/09/2015,31.09,31.43,30.629999,31.43,14312100,31.43
10/09/2015,31.35,31.59,31.030001,31.15,14287600,31.15
09/09/2015,30.4,31.799999,30.35,31.52,46957000,31.52
08/09/2015,32.200001,32.830002,30.860001,30.9,25238500,30.9
04/09/2015,32,32.290001,31.440001,31.58,13829900,31.58
03/09/2015,31.860001,32.740002,31.799999,32.540001,13710700,32.540001
02/09/2015,32.009998,32.029999,31.379999,31.77,15551500,31.77
01/09/2015,31.49,32.099998,31.23,31.6,19903500,31.6
31/08/2015,32.91,32.990002,32.23,32.240002,13609000,32.240002
28/08/2015,33.32,33.57,32.93,33.139999,9366100,33.139999
27/08/2015,33.360001,33.77,32.950001,33.689999,19105100,33.689999
26/08/2015,32.459999,32.619999,31.110001,32.52,25375600,32.52
25/08/2015,32.98,33.029999,31.540001,31.74,15626100,31.74
24/08/2015,29.02,32.279999,29,31.309999,22876900,31.309999
21/08/2015,33.580002,34.02,32.91,32.93,18271700,32.93
20/08/2015,34.77,34.950001,33.869999,34.099998,15525800,34.099998
19/08/2015,35.669998,35.669998,35.029999,35.189999,8974100,35.189999
18/08/2015,35.779999,36.189999,35.599998,35.689999,11422700,35.689999
17/08/2015,36.240002,36.240002,35.77,36.099998,7923100,36.099998
14/08/2015,35.82,36.349998,35.720001,36.240002,12238300,36.240002
13/08/2015,35.080002,36.610001,34.82,35.93,28981100,35.93
12/08/2015,34.290001,34.77,33.849998,34.490002,31405700,34.490002
11/08/2015,36.740002,36.77,35.73,36.029999,13677300,36.029999
10/08/2015,36.869999,37.689999,36.869999,37.150002,11266600,37.150002
07/08/2015,36.52,36.759998,36.150002,36.669998,11825800,36.669998
06/08/2015,37.34,37.52,36.299999,36.459999,12045400,36.459999
05/08/2015,37.32,37.709999,37.23,37.25,6837900,37.25
04/08/2015,36.610001,37.209999,36.599998,37.119999,8999000,37.119999
03/08/2015,36.669998,36.98,36.369999,36.689999,9853500,36.689999
31/07/2015,37.560001,37.57,36.619999,36.669998,15478000,36.669998
30/07/2015,37.5,37.689999,37.299999,37.419998,9513200,37.419998
29/07/2015,37.919998,37.919998,37.380001,37.669998,9739400,37.669998
28/07/2015,37.639999,37.919998,37.27,37.720001,10315100,37.720001
27/07/2015,38.310001,38.310001,37.650002,37.84,12872800,37.84
24/07/2015,39.580002,39.580002,38.669998,38.849998,8557000,38.849998
23/07/2015,39.299999,39.779999,39.060001,39.209999,9241700,39.209999
22/07/2015,38.57,39.630001,38.259998,39.240002,17115400,39.240002
